name,subvis,year,journal,title,url
116-wsj-17-xijinping,8,2017,WSJ,One Nation Under Xi Jinping,https://www.wsj.com/articles/one-nation-under-xi-jinping-1508224864?tesla=y
117-wsj-17-techrally,1,2017,WSJ,How This Tech Rally Is Different From 1999,https://www.wsj.com/graphics/how-this-tech-rally-is-different-from-1999/
118-wsj-17-trumptweet,2,2017,WSJ,Think a Negative Tweet From Trump Crushes a Stock? Think Again,http://www.wsj.com/graphics/trump-market-tweets/
119-wsj-17-octobersnot,3,2017,WSJ,October’s Not as Bleak as Its Reputation for Stock Markets,https://www.wsj.com/articles/octobers-not-as-bleak-as-its-reputation-for-stock-markets-1507384342
120-wsj-17-goptax,1,2017,WSJ,Winner or Loser? How Corporations Could Fare Under the GOP Tax Plan,https://www.wsj.com/graphics/gop-corporate-tax-plan-winners-losers/
121-wsj-17-ceopay,1,2017,WSJ,Top to Bottom: Pay for 500 CEOs,https://www.wsj.com/graphics/ceopay-2017/
122-wsj-17-goptaxcal,1,2017,WSJ,GOP Tax Plan Calculator,https://www.wsj.com/graphics/republican-tax-plan-calculator/
123-wsj-17-giant,2,2017,WSJ,Courting a Giant,https://www.wsj.com/graphics/amazon-headquarters/
124-wsj-17-giant20,10,2017,WSJ,"Why You Probably Work for a Giant Company, in 20 Charts",https://www.wsj.com/graphics/big-companies-get-bigger/
125-wsj-17-trumpchildren,1,2017,WSJ,"Trump, His Children, and 500+ Potential Conflicts of Interest",https://www.wsj.com/graphics/donald-trump-potential-conflicts-of-interest/
126-wsj-17-heathcare,2,2017,WSJ,Health-Care Holdouts in the House,https://www.wsj.com/graphics/house-health-care-holdouts-round-two/
127-wsj-17-thenandnow,2,2017,WSJ,Then and Now: The Big Shift at Work,https://www.wsj.com/graphics/american-workplace-then-and-now/
128-wsj-16-election,1,2016,WSJ,Where Trump and Clinton Won,http://www.wsj.com/graphics/elections/2016/where-they-won/
129-wsj-16-counties,3,2016,WSJ,The Most Important Counties to Watch on Election Night,http://www.wsj.com/graphics/elections/2016/bellwether-counties/
130-wsj-16-jets,1,2016,WSJ,Comparing the World's Fighter Jets,http://graphics.wsj.com/how-the-worlds-best-fighter-jets-measure-up/
131-wsj-16-times,2,2016,WSJ,Changing Times,http://graphics.wsj.com/time-use/
132-wsj-16-megabank,1,2016,WSJ,The Rise and Retreat of the Megabank,http://graphics.wsj.com/citi-revenue/
133-wsj-16-splinter,2,2016,WSJ,Markets Splinter,http://www.wsj.com/graphics/markets-splinter-postelection-reaction/
134-wsj-16-zika,5,2016,WSJ,Where the Zika Virus Can Thrive and Take Its Toll in the United States,http://www.wsj.com/graphics/where-zika-can-thrive/
135-wsj-16-bankstress,1,2016,WSJ,European Bank Stress Tests 2016,http://graphics.wsj.com/eba-stress-test-2016/
136-wsj-16-candidates,1,2016,WSJ,When Losing Presidential Candidates Endorse,http://graphics.wsj.com/elections/2016/lining-up-support/
137-wsj-16-redblue,2,2016,WSJ,A Field Guide to Red and Blue America,http://graphics.wsj.com/elections/2016/field-guide-red-blue-america/
138-wsj-16-paygap,1,2016,WSJ,What’s Your Pay Gap?,http://graphics.wsj.com/gender-pay-gap/
139-wsj-16-trumphappen,1,2016,WSJ,HOW TRUMP HAPPENED,http://graphics.wsj.com/elections/2016/how-trump-happened/
140-wsj-16-elecmap,1,2016,WSJ,Draw the 2016 Electoral College Map,http://graphics.wsj.com/elections/2016/2016-electoral-college-map-predictions/
141-wsj-16-swing,1,2016,WSJ,Who Will Swing the Swing States?,http://www.wsj.com/graphics/elections/2016/swing-the-swing-states-to-see-if-hillary-clinton-or-donald-trump-will-win/
142-wsj-16-gendeworkplace,3,2016,WSJ,How Men & Women See the Workplace Differently,http://graphics.wsj.com/how-men-and-women-see-the-workplace-differently/
143-wsj-16-whatpercet,1,2016,WSJ,What Percent Are You?,http://graphics.wsj.com/what-percent/
144-wsj-16-econgravity,1,2016,WSJ,The Global Economy's Shifting Center of Gravity in 11 Charts,http://graphics.wsj.com/global-growth/
145-wsj-16-popularity,3,2016,WSJ,Trump and Clinton’s Popularity Problem,http://graphics.wsj.com/elections/2016/donald-trump-and-hillary-clintons-popularity-problem/
146-wsj-16-divided,4,2016,WSJ,A Divided America,http://www.wsj.com/graphics/elections/2016/divided-america/
147-wsj-16-polling,3,2016,WSJ,Polling for the 2016 Election,http://graphics.wsj.com/elections/2016/polls/
148-wsj-16-boardrooms,1,2016,WSJ,Inside America's Boardrooms,http://graphics.wsj.com/boards-of-directors-at-SP-500-companies/
149-wsj-16-topceos,1,2016,WSJ,How Much Do Top CEOs Make?,http://graphics.wsj.com/ceo-salary-vs-company-performance/
150-wsj-16-startupstock,1,2016,WSJ,The Startup Stock Tracker,https://www.wsj.com/graphics/tech-startup-stocks-to-watch/
151-wsj-16-winningstock,1,2016,WSJ,CAN YOU PICK A WINNING STOCK?,http://graphics.wsj.com/stock-game/
152-wsj-16-howbond,3,2016,WSJ,How Bond Yields Got This Low,http://www.wsj.com/graphics/how-bond-yields-got-this-low/
153-wsj-16-homerebound,4,2016,WSJ,"Home Values Rebound, But Not For Everyone",http://www.wsj.com/graphics/housing-market-recovery/
154-wsj-16-polling,1,2016,WSJ,"In Polling, Who’s Getting It Right?",http://www.wsj.com/graphics/elections/2016/in-polling-who-got-it-right/
155-wsj-16-rollin,4,2016,WSJ,What to Watch On Election Night As Results Roll In,http://www.wsj.com/graphics/elections/2016/what-to-watch-on-election-night/
156-wsj-16-hillary,2,2016,WSJ,Hillary vs. Hillary,http://graphics.wsj.com/elections/2016/hillary-vs-hillary/
157-wsj-16-delegate,1,2016,WSJ,The Delegate Simulator,http://graphics.wsj.com/elections/2016/delegate-simulator/
158-wsj-16-clintonsanders,3,2016,WSJ,The Delegate Math Facing Clinton and Sanders,http://graphics.wsj.com/elections/2016/democratic-delegate-math/
159-wsj-16-repulican,2,2016,WSJ,Republican Convention’s Delegate Math Explained,http://graphics.wsj.com/elections/2016/rnc-convention-delegates/
160-wsj-16-swinging,1,2016,WSJ,How Far is Your State Swinging?,http://www.wsj.com/graphics/elections/2016/how-is-your-state-swinging/
